Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedEvent.java,0,6,6,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,29,1,0,0,4,1,99,49,24.75,50,45,12.5,149,94,37.25,928,668.5,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,41,98,57,41,511,2,0,212,7043,0.9667275,0.0,0.0,135,3,103,17,14,1,118,0,0,0,61,9,7,53,1,0,14,0,30,1183,145,31,214,7,40,54,92,368,20,206,5,0,1,0,565,1,4,243,21,5,4632,2199,220.57142857142858,2285,2084,108.80952380952381,6917,4283,329.3809523809524,928,163.95238095238096,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/meta/InheritanceComparator.java,1,4,3,1,16,1,1,8,4,0.5,0.0,0.0,4,0,2,1,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,32,14,1,9,0,0,0,9,8,1,6,2,0,0,0,48,1,0,13,8,3,168,79,21.0,80,73,10.0,248,152,31.0,928,336.125,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Count.java,2,3,1,2,5,3,0,4,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,1,0,0,0,1,2,0,2,2,0,0,0,22,0,0,3,4,1,97,49,24.25,48,45,12.0,145,94,36.25,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationCollectionInverseKeyFieldStrategy.java,18,21,3,18,12,6,0,11,45,0.9,0.0,0.0,10,0,9,0,1,0,10,0,0,0,1,1,0,1,0,0,1,0,0,34,8,0,2,0,0,1,0,1,0,1,1,0,0,0,73,1,0,1,3,2,99,94,33.0,5,5,1.6666666666666667,104,94,34.666666666666664,928,503.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,43,1,0,0,2,1,36,36,18.0,0,0,0.0,36,36,18.0,928,686.0,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/CopyOnWriteArraySet.java,4,6,2,4,27,4,0,19,0,0.5294118,0.0,0.0,17,1,16,1,0,0,16,0,0,0,2,1,0,2,0,0,2,0,1,75,18,2,4,0,3,0,4,12,0,10,3,0,0,0,310,1,0,9,5,1,178,95,35.6,211,134,42.2,389,229,77.8,928,581.8,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Raw.java,0,2,2,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0,1,2,1,35,35,17.5,0,0,0.0,35,35,17.5,928,686.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java,4,5,1,4,6,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,1,0,0,22,5,25,0,0,1,0,0,0,98,1,0,2,2,1,93,93,46.5,0,0,0.0,93,93,46.5,928,686.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,41,43,2,41,159,1,0,157,906,0.93073606,0.0,0.0,49,5,37,12,0,0,37,0,0,0,33,10,9,24,0,0,14,0,10,511,38,19,45,5,5,54,22,176,1,107,4,0,2,0,425,1,6,98,10,4,1211,1104,121.1,88,43,8.8,1299,1104,129.9,928,148.2,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,22,24,2,22,131,2,0,88,88,0.75999993,0.0,0.0,20,2,12,8,0,0,12,0,0,0,5,0,0,5,0,0,0,0,8,378,37,10,64,7,3,0,3,111,1,64,4,0,2,0,218,1,0,68,15,4,1335,618,89.0,656,563,43.733333333333334,1991,1181,132.73333333333332,928,227.53333333333333,Yes
