Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedEvent.java,0,6,6,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,29,1,0,0,4,1,99,49,24.75,50,45,12.5,149,94,37.25,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,43,1,0,0,2,1,36,36,18.0,0,0,0.0,36,36,18.0,928,686.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/event/TransactionEvent.java,1,7,6,1,10,1,0,0,5,0.8809525,0.0,0.0,6,0,6,0,0,0,6,0,0,0,14,9,9,5,0,0,14,0,0,39,5,0,4,0,4,0,9,14,0,14,0,0,0,0,121,1,0,0,6,1,321,157,53.5,168,147,28.0,489,304,81.5,928,485.8333333333333,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AndExpression.java,3,5,2,3,6,2,1,5,0,0.16666667,0.0,0.0,6,0,4,0,2,0,6,0,0,0,2,0,0,2,0,0,2,0,0,26,4,0,0,0,0,0,0,2,0,2,0,0,0,0,30,0,0,0,5,2,128,61,25.6,60,57,12.0,188,118,37.6,928,552.8,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Subtract.java,2,3,1,2,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,1,77,39,19.25,38,35,9.5,115,74,28.75,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/QueryExpressionsState.java,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,1,0,0,8,0,0,0,0,0,0,1,6,0,6,0,0,0,0,29,1,0,0,1,1,33,33,33.0,0,0,0.0,33,33,33.0,79,79.0,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractFieldManager.java,2,3,1,2,20,1,1,0,190,0.0,0.0,0.0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1024,0,0,4,1,217,109,54.25,108,105,27.0,325,214,81.25,928,668.5,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/SuffixMetaDataFilter.java,2,3,1,2,3,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,1,0,0,0,0,2,0,2,0,0,0,0,23,1,0,0,4,1,18,10,4.5,18,14,4.5,36,24,9.0,928,605.25,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/SimpleNode.java,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,4,1,59,31,14.75,28,27,7.0,87,58,21.75,928,668.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractClassStrategy.java,11,17,6,11,7,2,6,0,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,24,6,0,0,0,0,0,0,2,0,1,0,0,0,0,60,1025,0,0,2,1,79,79,39.5,0,0,0.0,79,79,39.5,928,686.0,No
