Release,File,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg
0.9.6,openjpa-examples/src/main/java/hellojpa/Main.java,2,1,73,58,36.5,0,0,0.0,73,58,36.5,2,2.0
0.9.6,openjpa-examples/src/main/java/hellojpa/Message.java,2,1,69,54,34.5,0,0,0.0,69,54,34.5,2,2.0
0.9.6,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,3,1,63,62,21.0,1,1,0.3333333333333333,64,62,21.333333333333332,928,531.3333333333334
0.9.6,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,2,1,100,100,50.0,0,0,0.0,100,100,50.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,4,2,215,211,53.75,3,2,0.75,218,211,54.5,928,367.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,4,2,263,257,65.75,5,3,1.25,268,257,67.0,928,357.75
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,4,2,151,147,37.75,3,2,0.75,154,147,38.5,928,367.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,3,1,50,49,16.666666666666668,0,0,0.0,50,49,16.666666666666668,928,458.3333333333333
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,5,2,629,609,125.8,27,15,5.4,656,609,131.2,928,337.4
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,10,4,939,900,93.9,59,34,5.9,998,900,99.8,928,155.7
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,8,3,76,50,9.5,28,10,3.5,104,50,13.0,928,191.5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,2,1,58,58,29.0,0,0,0.0,58,58,29.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,4,2,162,158,40.5,3,2,0.75,165,158,41.25,928,355.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java,4,2,65,65,16.25,5,4,1.25,70,65,17.5,928,350.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,3,1,136,135,45.333333333333336,1,1,0.3333333333333333,137,135,45.666666666666664,928,531.3333333333334
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,4,2,207,189,51.75,39,38,9.75,246,189,61.5,928,344.5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,5,3,431,384,86.2,65,44,13.0,496,384,99.2,928,282.2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,7,3,280,262,40.0,21,15,3.0,301,262,43.0,928,215.42857142857142
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java,2,1,32,32,16.0,0,0,0.0,32,32,16.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,5,2,245,233,49.0,2,1,0.4,247,233,49.4,928,360.8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java,2,1,42,42,21.0,0,0,0.0,42,42,21.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java,4,2,130,127,32.5,4,3,1.0,134,127,33.5,928,395.5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/InstanceResultObjectProvider.java,3,2,61,58,20.333333333333332,3,3,1.0,64,58,21.333333333333332,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java,4,2,171,168,42.75,2,1,0.5,173,168,43.25,928,372.25
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java,5,2,182,164,36.4,10,8,2.0,192,164,38.4,928,360.8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java,7,3,419,285,59.857142857142854,97,48,13.857142857142858,516,285,73.71428571428571,928,230.85714285714286
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchState.java,3,2,32,32,10.666666666666666,32,32,10.666666666666666,64,32,21.333333333333332,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchStateImpl.java,3,2,42,42,14.0,42,42,14.0,84,42,28.0,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java,2,1,46,46,23.0,0,0,0.0,46,46,23.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java,2,1,38,38,19.0,0,0,0.0,38,38,19.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStore.java,6,2,108,106,18.0,14,10,2.3333333333333335,122,106,20.333333333333332,928,298.8333333333333
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,15,3,1766,1458,117.73333333333333,382,122,25.466666666666665,2148,1458,143.2,928,109.46666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java,8,2,806,636,100.75,167,52,20.875,973,636,121.625,928,205.5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/LRSSizes.java,2,1,43,43,21.5,0,0,0.0,43,43,21.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java,3,2,466,457,155.33333333333334,11,11,3.6666666666666665,477,457,159.0,928,503.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,4,2,379,369,94.75,15,13,3.75,394,369,98.5,928,350.25
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/OperationOrderUpdateManager.java,3,2,220,217,73.33333333333333,2,2,0.6666666666666666,222,217,74.0,928,459.3333333333333
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java,5,3,457,445,91.4,19,14,3.8,476,445,95.2,928,307.2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java,2,1,177,177,88.5,0,0,0.0,177,177,88.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java,2,1,44,44,22.0,0,0,0.0,44,44,22.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,5,2,141,129,28.2,17,12,3.4,158,129,31.6,928,295.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java,4,2,94,70,23.5,17,12,4.25,111,70,27.75,928,397.0
