Iteration,TestRelease,Classifier,FS,Balancing,TrainSize,TestSize,BuggyTrain,BuggyTest,Precision,Recall,F1,AUC,Kappa
1,0_9_7,RandomForest,None,None,720,718,96,104,0.7500,0.1442,0.2419,0.8186,0.2048
1,0_9_7,RandomForest,None,Undersampling,720,718,96,104,0.4143,0.5577,0.4754,0.8050,0.3708
1,0_9_7,RandomForest,None,Oversampling,720,718,96,104,0.8000,0.2308,0.3582,0.7902,0.3137
1,0_9_7,RandomForest,None,SMOTE,720,718,96,104,0.8621,0.2404,0.3759,0.8440,0.3339
1,0_9_7,RandomForest,CFS,None,720,718,96,104,0.7826,0.1731,0.2835,0.7842,0.2438
1,0_9_7,RandomForest,CFS,Undersampling,720,718,96,104,0.1364,0.7212,0.2294,0.5095,-0.0189
1,0_9_7,RandomForest,CFS,Oversampling,720,718,96,104,0.5082,0.2981,0.3758,0.6871,0.3009
1,0_9_7,RandomForest,CFS,SMOTE,720,718,96,104,0.8000,0.0769,0.1404,0.7740,0.1179
1,0_9_7,NaiveBayes,None,None,720,718,96,104,0.4588,0.3750,0.4127,0.7545,0.3247
1,0_9_7,NaiveBayes,None,Undersampling,720,718,96,104,0.3929,0.4231,0.4074,0.7539,0.3027
1,0_9_7,NaiveBayes,None,Oversampling,720,718,96,104,0.4343,0.4135,0.4236,0.7573,0.3288
1,0_9_7,NaiveBayes,None,SMOTE,720,718,96,104,0.4318,0.3654,0.3958,0.7526,0.3033
1,0_9_7,NaiveBayes,CFS,None,720,718,96,104,0.5667,0.3269,0.4146,0.7657,0.3452
1,0_9_7,NaiveBayes,CFS,Undersampling,720,718,96,104,0.5902,0.3462,0.4364,0.7583,0.3688
1,0_9_7,NaiveBayes,CFS,Oversampling,720,718,96,104,0.5286,0.3558,0.4253,0.7394,0.3495
1,0_9_7,NaiveBayes,CFS,SMOTE,720,718,96,104,0.5147,0.3365,0.4070,0.7621,0.3303
1,0_9_7,IBk,None,None,720,718,96,104,0.3594,0.4423,0.3966,0.6631,0.2818
1,0_9_7,IBk,None,Undersampling,720,718,96,104,0.1592,0.6827,0.2582,0.5360,0.0304
1,0_9_7,IBk,None,Oversampling,720,718,96,104,0.1922,0.5192,0.2805,0.5550,0.0876
1,0_9_7,IBk,None,SMOTE,720,718,96,104,0.3288,0.4615,0.3840,0.6594,0.2586
1,0_9_7,IBk,CFS,None,720,718,96,104,0.5313,0.3269,0.4048,0.6390,0.3309
1,0_9_7,IBk,CFS,Undersampling,720,718,96,104,0.1567,0.6827,0.2549,0.5303,0.0253
1,0_9_7,IBk,CFS,Oversampling,720,718,96,104,0.2394,0.4327,0.3082,0.5654,0.1496
1,0_9_7,IBk,CFS,SMOTE,720,718,96,104,0.4805,0.3558,0.4088,0.6453,0.3257
2,1_0_0,RandomForest,None,None,1438,746,200,116,0.8028,0.4914,0.6096,0.8709,0.5574
2,1_0_0,RandomForest,None,Undersampling,1438,746,200,116,0.4181,0.8362,0.5575,0.8684,0.4417
2,1_0_0,RandomForest,None,Oversampling,1438,746,200,116,0.5920,0.6379,0.6141,0.8749,0.5399
2,1_0_0,RandomForest,None,SMOTE,1438,746,200,116,0.7176,0.5259,0.6070,0.8758,0.5474
2,1_0_0,RandomForest,CFS,None,1438,746,200,116,0.7692,0.5172,0.6186,0.8750,0.5640
2,1_0_0,RandomForest,CFS,Undersampling,1438,746,200,116,0.3009,0.8534,0.4449,0.8513,0.2792
2,1_0_0,RandomForest,CFS,Oversampling,1438,746,200,116,0.5594,0.6897,0.6178,0.8550,0.5385
2,1_0_0,RandomForest,CFS,SMOTE,1438,746,200,116,0.7033,0.5517,0.6184,0.8701,0.5579
2,1_0_0,NaiveBayes,None,None,1438,746,200,116,0.5375,0.3707,0.4388,0.8148,0.3572
2,1_0_0,NaiveBayes,None,Undersampling,1438,746,200,116,0.4906,0.4483,0.4685,0.8076,0.3758
2,1_0_0,NaiveBayes,None,Oversampling,1438,746,200,116,0.5595,0.4052,0.4700,0.8133,0.3904
2,1_0_0,NaiveBayes,None,SMOTE,1438,746,200,116,0.5385,0.3621,0.4330,0.8111,0.3520
2,1_0_0,NaiveBayes,CFS,None,1438,746,200,116,0.5783,0.4138,0.4824,0.8345,0.4053
2,1_0_0,NaiveBayes,CFS,Undersampling,1438,746,200,116,0.5185,0.4828,0.5000,0.8248,0.4118
2,1_0_0,NaiveBayes,CFS,Oversampling,1438,746,200,116,0.5652,0.4483,0.5000,0.8274,0.4203
2,1_0_0,NaiveBayes,CFS,SMOTE,1438,746,200,116,0.5568,0.4224,0.4804,0.8332,0.3999
2,1_0_0,IBk,None,None,1438,746,200,116,0.7209,0.2672,0.3899,0.6241,0.3339
2,1_0_0,IBk,None,Undersampling,1438,746,200,116,0.5397,0.2931,0.3799,0.6235,0.3037
2,1_0_0,IBk,None,Oversampling,1438,746,200,116,0.3727,0.3534,0.3628,0.5933,0.2492
2,1_0_0,IBk,None,SMOTE,1438,746,200,116,0.5147,0.3017,0.3804,0.6247,0.3000
2,1_0_0,IBk,CFS,None,1438,746,200,116,0.7451,0.3276,0.4551,0.6535,0.3979
2,1_0_0,IBk,CFS,Undersampling,1438,746,200,116,0.5229,0.4914,0.5067,0.7044,0.4192
2,1_0_0,IBk,CFS,Oversampling,1438,746,200,116,0.6780,0.3448,0.4571,0.6447,0.3936
2,1_0_0,IBk,CFS,SMOTE,1438,746,200,116,0.7069,0.3534,0.4713,0.6632,0.4101
3,1_0_1,RandomForest,None,None,2184,747,316,103,0.8302,0.8544,0.8421,0.9767,0.8164
3,1_0_1,RandomForest,None,Undersampling,2184,747,316,103,0.5103,0.9612,0.6667,0.9561,0.5934
3,1_0_1,RandomForest,None,Oversampling,2184,747,316,103,0.6889,0.9029,0.7815,0.9657,0.7410
3,1_0_1,RandomForest,None,SMOTE,2184,747,316,103,0.8131,0.8447,0.8286,0.9764,0.8005
3,1_0_1,RandomForest,CFS,None,2184,747,316,103,0.8416,0.8252,0.8333,0.9741,0.8070
3,1_0_1,RandomForest,CFS,Undersampling,2184,747,316,103,0.4641,0.9417,0.6218,0.9459,0.5361
3,1_0_1,RandomForest,CFS,Oversampling,2184,747,316,103,0.6812,0.9126,0.7801,0.9701,0.7388
3,1_0_1,RandomForest,CFS,SMOTE,2184,747,316,103,0.8208,0.8447,0.8325,0.9764,0.8053
3,1_0_1,NaiveBayes,None,None,2184,747,316,103,0.5349,0.4466,0.4868,0.8174,0.4131
3,1_0_1,NaiveBayes,None,Undersampling,2184,747,316,103,0.4867,0.5340,0.5093,0.8182,0.4265
3,1_0_1,NaiveBayes,None,Oversampling,2184,747,316,103,0.5109,0.4563,0.4821,0.8210,0.4046
3,1_0_1,NaiveBayes,None,SMOTE,2184,747,316,103,0.5165,0.4563,0.4845,0.8158,0.4080
3,1_0_1,NaiveBayes,CFS,None,2184,747,316,103,0.5517,0.4660,0.5053,0.8231,0.4338
3,1_0_1,NaiveBayes,CFS,Undersampling,2184,747,316,103,0.4900,0.4757,0.4828,0.8205,0.4014
3,1_0_1,NaiveBayes,CFS,Oversampling,2184,747,316,103,0.4804,0.4757,0.4780,0.8214,0.3950
3,1_0_1,NaiveBayes,CFS,SMOTE,2184,747,316,103,0.5161,0.4660,0.4898,0.8223,0.4130
3,1_0_1,IBk,None,None,2184,747,316,103,0.7213,0.8544,0.7822,0.9046,0.7439
3,1_0_1,IBk,None,Undersampling,2184,747,316,103,0.3598,0.9223,0.5177,0.8301,0.3984
3,1_0_1,IBk,None,Oversampling,2184,747,316,103,0.5287,0.8932,0.6643,0.9018,0.5939
3,1_0_1,IBk,None,SMOTE,2184,747,316,103,0.7040,0.8544,0.7719,0.9023,0.7313
3,1_0_1,IBk,CFS,None,2184,747,316,103,0.6303,0.7282,0.6757,0.8369,0.6194
3,1_0_1,IBk,CFS,Undersampling,2184,747,316,103,0.3494,0.9126,0.5054,0.8204,0.3822
3,1_0_1,IBk,CFS,Oversampling,2184,747,316,103,0.4852,0.7961,0.6029,0.8432,0.5208
3,1_0_1,IBk,CFS,SMOTE,2184,747,316,103,0.6240,0.7573,0.6842,0.8484,0.6280
4,1_0_2,RandomForest,None,None,2931,749,419,97,0.7619,0.8247,0.7921,0.9433,0.7597
4,1_0_2,RandomForest,None,Undersampling,2931,749,419,97,0.4944,0.9072,0.6400,0.9502,0.5675
4,1_0_2,RandomForest,None,Oversampling,2931,749,419,97,0.6364,0.8660,0.7336,0.9379,0.6869
4,1_0_2,RandomForest,None,SMOTE,2931,749,419,97,0.7477,0.8247,0.7843,0.9388,0.7504
4,1_0_2,RandomForest,CFS,None,2931,749,419,97,0.7524,0.8144,0.7822,0.9479,0.7483
4,1_0_2,RandomForest,CFS,Undersampling,2931,749,419,97,0.4759,0.9175,0.6268,0.9387,0.5500
4,1_0_2,RandomForest,CFS,Oversampling,2931,749,419,97,0.5931,0.8866,0.7107,0.9412,0.6576
4,1_0_2,RandomForest,CFS,SMOTE,2931,749,419,97,0.7453,0.8144,0.7783,0.9431,0.7437
4,1_0_2,NaiveBayes,None,None,2931,749,419,97,0.5349,0.4742,0.5027,0.8117,0.4338
4,1_0_2,NaiveBayes,None,Undersampling,2931,749,419,97,0.5054,0.4845,0.4947,0.8108,0.4214
4,1_0_2,NaiveBayes,None,Oversampling,2931,749,419,97,0.4694,0.4742,0.4718,0.8126,0.3927
4,1_0_2,NaiveBayes,None,SMOTE,2931,749,419,97,0.5055,0.4742,0.4894,0.8081,0.4162
4,1_0_2,NaiveBayes,CFS,None,2931,749,419,97,0.5488,0.4639,0.5028,0.8246,0.4359
4,1_0_2,NaiveBayes,CFS,Undersampling,2931,749,419,97,0.4948,0.4948,0.4948,0.8240,0.4197
4,1_0_2,NaiveBayes,CFS,Oversampling,2931,749,419,97,0.5161,0.4948,0.5053,0.8243,0.4334
4,1_0_2,NaiveBayes,CFS,SMOTE,2931,749,419,97,0.5000,0.4742,0.4868,0.8236,0.4127
4,1_0_2,IBk,None,None,2931,749,419,97,0.7308,0.7835,0.7562,0.9105,0.7185
4,1_0_2,IBk,None,Undersampling,2931,749,419,97,0.4048,0.8763,0.5537,0.8178,0.4577
4,1_0_2,IBk,None,Oversampling,2931,749,419,97,0.6029,0.8454,0.7039,0.8978,0.6511
4,1_0_2,IBk,None,SMOTE,2931,749,419,97,0.7308,0.7835,0.7562,0.9105,0.7185
4,1_0_2,IBk,CFS,None,2931,749,419,97,0.7400,0.7629,0.7513,0.9077,0.7136
4,1_0_2,IBk,CFS,Undersampling,2931,749,419,97,0.3864,0.8763,0.5363,0.8262,0.4347
4,1_0_2,IBk,CFS,Oversampling,2931,749,419,97,0.5524,0.8144,0.6583,0.8660,0.5960
4,1_0_2,IBk,CFS,SMOTE,2931,749,419,97,0.7282,0.7732,0.7500,0.9084,0.7115
5,1_1_0,RandomForest,None,None,3680,771,516,202,0.8182,0.3564,0.4966,0.8608,0.4014
5,1_1_0,RandomForest,None,Undersampling,3680,771,516,202,0.6158,0.6188,0.6173,0.8507,0.4810
5,1_1_0,RandomForest,None,Oversampling,3680,771,516,202,0.7323,0.4604,0.5653,0.8531,0.4551
5,1_1_0,RandomForest,None,SMOTE,3680,771,516,202,0.7979,0.3713,0.5068,0.8684,0.4083
5,1_1_0,RandomForest,CFS,None,3680,771,516,202,0.7978,0.3515,0.4880,0.8400,0.3903
5,1_1_0,RandomForest,CFS,Undersampling,3680,771,516,202,0.6263,0.5891,0.6071,0.8151,0.4734
5,1_1_0,RandomForest,CFS,Oversampling,3680,771,516,202,0.7097,0.4356,0.5399,0.8392,0.4253
5,1_1_0,RandomForest,CFS,SMOTE,3680,771,516,202,0.7800,0.3861,0.5166,0.8426,0.4151
5,1_1_0,NaiveBayes,None,None,3680,771,516,202,0.7115,0.3663,0.4837,0.7672,0.3718
5,1_1_0,NaiveBayes,None,Undersampling,3680,771,516,202,0.6783,0.3861,0.4921,0.7731,0.3729
5,1_1_0,NaiveBayes,None,Oversampling,3680,771,516,202,0.6972,0.3762,0.4887,0.7738,0.3737
5,1_1_0,NaiveBayes,None,SMOTE,3680,771,516,202,0.7009,0.3713,0.4854,0.7674,0.3714
5,1_1_0,NaiveBayes,CFS,None,3680,771,516,202,0.6742,0.2970,0.4124,0.7534,0.3002
5,1_1_0,NaiveBayes,CFS,Undersampling,3680,771,516,202,0.6214,0.3168,0.4197,0.7519,0.2949
5,1_1_0,NaiveBayes,CFS,Oversampling,3680,771,516,202,0.6593,0.2970,0.4096,0.7523,0.2948
5,1_1_0,NaiveBayes,CFS,SMOTE,3680,771,516,202,0.6344,0.2921,0.4000,0.7542,0.2813
5,1_1_0,IBk,None,None,3680,771,516,202,0.8511,0.3960,0.5405,0.8180,0.4488
5,1_1_0,IBk,None,Undersampling,3680,771,516,202,0.5556,0.5446,0.5500,0.7076,0.3924
5,1_1_0,IBk,None,Oversampling,3680,771,516,202,0.6767,0.4455,0.5373,0.7147,0.4158
