TicketKey,AVs
OPENJPA-100,0.9.6
OPENJPA-1001,1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1002,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-1006,1.2.1
OPENJPA-102,0.9.6
OPENJPA-1020,1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1025,1.2.1
OPENJPA-103,0.9.6
OPENJPA-1031,1.2.1
OPENJPA-1039,1.2.1
OPENJPA-104,0.9.6
OPENJPA-1043,1.2.1;2.0.0-M2
OPENJPA-1046,1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-1049,1.2.1;2.0.0-M2
OPENJPA-1051,1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-1054,1.2.1
OPENJPA-1061,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-1065,2.0.0-M2
OPENJPA-1067,1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-107,0.9.6
OPENJPA-1070,1.2.1
OPENJPA-1074,2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-109,0.9.6
OPENJPA-1091,1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1097,2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1099,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-110,0.9.6
OPENJPA-1100,1.2.1;2.0.0-M2
OPENJPA-1116,2.0.0-M2
OPENJPA-112,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0
OPENJPA-1120,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-1121,1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-1127,1.2.1;2.0.0-M2
OPENJPA-113,0.9.6;0.9.7;1.0.0
OPENJPA-1141,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3
OPENJPA-1142,2.0.0-M3;1.2.2
OPENJPA-115,0.9.6
OPENJPA-1159,2.0.0-M2
OPENJPA-116,0.9.6
OPENJPA-1160,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
